Nom,Nombre de parties gagnées,Pourcentage de parties gagnées(%),Nombre d'égalités,Pourcentage d'égalités(%),Nombre de parties perdues,Pourcentage de parties perdues(%),Score moyen
Sara,160,16.0,18,1.8,822,82.200005,18.127
Alban,101,10.1,23,2.3,876,87.6,17.635
RobotDiscret1,207,20.7,51,5.1,742,74.2,22.196
RobotDiscret2,227,22.7,43,4.3,730,73.0,22.281
RobotDiscret3,230,23.0,55,5.5,715,71.5,22.592
RobotDiscret4,233,23.3,61,6.1,706,70.6,22.421
Stacy,494,49.399998,45,4.5,461,46.1,22.429
Richardo,116,11.599999,17,1.7,867,86.7,17.199
Sara,252,25.2,33,3.3,715,71.5,19.793
Alban,82,8.2,21,2.1,897,89.700005,17.13
RobotDiscret1,238,23.800001,47,4.7,715,71.5,22.953
RobotDiscret2,220,22.0,52,5.2000003,728,72.799995,22.685
RobotDiscret3,226,22.6,46,4.6,728,72.799995,22.658
RobotDiscret4,225,22.5,43,4.3,732,73.2,22.366
Stacy,474,47.4,51,5.1,475,47.5,22.403
Richardo,106,10.599999,21,2.1,873,87.3,16.922
Sara,246,24.6,51,5.1,703,70.3,20.147
Alban,101,10.1,25,2.5,874,87.4,17.429
RobotDiscret1,226,22.6,55,5.5,719,71.9,22.458
RobotDiscret2,233,23.3,35,3.5,732,73.2,22.685
RobotDiscret3,228,22.8,41,4.1,731,73.1,22.377
RobotDiscret4,230,23.0,39,3.9,731,73.1,22.39
Stacy,527,52.7,51,5.1,422,42.2,23.16
Richardo,150,15.000001,21,2.1,829,82.9,18.768
Sara,151,15.099999,35,3.5,814,81.4,18.343
Alban,111,11.1,17,1.7,872,87.2,17.481
RobotDiscret1,224,22.400002,42,4.2,734,73.4,22.445
RobotDiscret2,240,24.0,45,4.5,715,71.5,22.656
RobotDiscret3,212,21.199999,42,4.2,746,74.6,22.3
RobotDiscret4,241,24.1,40,4.0,719,71.9,22.537
<<<<<<< HEAD
Stacy,576,57.6,36,3.6,388,38.800003,23.667
Richardo,160,16.0,27,2.7,813,81.3,18.649
Sara,135,13.500001,23,2.3,842,84.2,17.51
Alban,77,7.7,19,1.9,904,90.4,17.045
RobotDiscret1,237,23.7,40,4.0,723,72.299995,22.284
